district,grade,category,year,num_total_days,num_days_absent,num_days_present,pct_attendance,num_contributing_10and_total_days_and_1and_pres_day,num_chronically_absent,pct_chronically_absent
1,7,All Students,2022,122282,12072,110210,90.12773895,718,245,34.12256241
1,8,All Students,2018,150098,9763,140335,93.49558258,868,172,19.81566811
1,8,All Students,2019,139512,9407,130105,93.25720978,808,189,23.39108849
1,8,All Students,2020,91355,5984,85371,93.44972992,813,170,20.91020966
1,8,All Students,2021,131586,8930,122656,93.21356201,767,147,19.16558075
1,8,All Students,2022,126748,13468,113280,89.37419128,737,268,36.36363602
1,9,All Students,2018,119031,9042,109989,92.40365601,759,142,18.70882797
1,9,All Students,2019,128326,11114,117212,91.33924866,830,180,21.6867466
1,9,All Students,2020,89758,8151,81607,90.91891479,875,192,21.94285774
1,9,All Students,2021,140930,19394,121536,86.23855591,837,262,31.30227089
1,9,All Students,2022,127660,16993,110667,86.68885803,845,302,35.7396431
1,10,All Students,2018,148720,22619,126101,84.79088593,997,387,38.81644821
1,10,All Students,2019,142503,20035,122468,85.94064331,940,354,37.6595726
1,10,All Students,2020,95164,12315,82849,87.05918121,904,284,31.41592979
1,10,All Students,2021,144129,26001,118128,81.95990753,862,325,37.70301437
1,10,All Students,2022,134236,22680,111556,83.10438538,846,375,44.32624054
1,11,All Students,2018,140901,18568,122333,86.82195282,924,325,35.17316055
1,11,All Students,2019,125782,16008,109774,87.27321625,803,271,33.7484436
1,11,All Students,2020,82923,10131,72792,87.78263855,786,262,33.33333206
1,11,All Students,2021,141109,24437,116672,82.68218231,830,302,36.38554382
1,11,All Students,2022,128491,20942,107549,83.70158386,796,375,47.11055374
1,12,All Students,2018,128052,21135,106917,83.49498749,847,422,49.82290268
1,12,All Students,2019,152359,28785,123574,81.10712433,984,484,49.18699265
1,12,All Students,2020,96878,18257,78621,81.15464783,922,430,46.6377449
1,12,All Students,2021,144199,32634,111565,77.36877441,864,433,50.11574173
1,12,All Students,2022,137619,29843,107776,78.31476593,855,534,62.456138609999996
2,All Grades,All Students,2018,10430548,926575,9503973,91.11671448,63816,15699,24.60041428
2,All Grades,All Students,2019,10435938,901006,9534932,91.36631775,63264,15376,24.30450249
2,All Grades,All Students,2020,6834988,585743,6249245,91.43022919,62698,15037,23.98322105
2,All Grades,All Students,2021,10092012,1107488,8984524,89.02609253,59916,16510,27.55524445
2,All Grades,All Students,2022,9604446,1197369,8407077,87.53318024,57907,21950,37.90560913
2,PK in K-12 Schools,All Students,2018,225588,15985,209603,92.91407013,1361,298,21.89566422
2,PK in K-12 Schools,All Students,2019,236341,16823,219518,92.88189697,1414,322,22.77227783
2,PK in K-12 Schools,All Students,2020,159254,12265,146989,92.29846954,1452,392,26.99724579
2,PK in K-12 Schools,All Students,2021,206895,15420,191475,92.54694366,1279,307,24.00312805
2,PK in K-12 Schools,All Students,2022,233172,24768,208404,89.37779999,1407,602,42.78606796
2,0K,All Students,2018,571149,34009,537140,94.04550934,3379,582,17.22403145
2,0K,All Students,2019,538840,32254,506586,94.01417542,3189,555,17.40357399
2,0K,All Students,2020,359446,23745,335701,93.39399719,3246,648,19.96303177
2,0K,All Students,2021,469334,23302,446032,95.03509521,2838,389,13.70683575
2,0K,All Students,2022,443053,36341,406712,91.79759216,2627,745,28.35934448
2,1,All Students,2018,524659,25144,499515,95.20755005,3081,361,11.71697521
2,1,All Students,2019,547629,27549,520080,94.96940613,3220,405,12.57763958
2,1,All Students,2020,332329,18253,314076,94.5075531,2978,419,14.0698452
2,1,All Students,2021,451768,17623,434145,96.09910583,2711,254,9.369235992
2,1,All Students,2022,430085,31366,398719,92.70702362,2541,586,23.06178665
2,2,All Students,2018,510752,22737,488015,95.54833221,2999,301,10.03667927
2,2,All Students,2019,503857,23074,480783,95.4205246,2939,310,10.54780579
2,2,All Students,2020,341597,17216,324381,94.96014404,3049,381,12.49590015
2,2,All Students,2021,432912,14698,418214,96.60485077,2570,199,7.743190765
2,2,All Students,2022,410449,27507,382942,93.29831696,2408,471,19.5598011
2,3,All Students,2018,489326,20869,468457,95.7351532,2849,273,9.582309723
2,3,All Students,2019,491432,21170,470262,95.69218445,2854,286,10.0210228
2,3,All Students,2020,319455,14418,305037,95.48668671,2853,301,10.55029774
2,3,All Students,2021,448999,14951,434048,96.67015076,2680,205,7.649253845
2,3,All Students,2022,402246,25460,376786,93.67053986,2369,443,18.69987297
2,4,All Students,2018,493816,16760,477056,96.6060257,2874,233,8.107167244
2,4,All Students,2019,483213,16105,467108,96.667099,2805,240,8.556149483
2,4,All Students,2020,311547,10788,300759,96.53727721999999,2764,203,7.344428539
2,4,All Students,2021,439105,14018,425087,96.8075943,2605,199,7.639155388
2,4,All Students,2022,417287,24384,392903,94.15653992,2431,398,16.37186432
2,5,All Students,2018,510273,19352,490921,96.20751953,2947,258,8.754665375
2,5,All Students,2019,481047,20031,461016,95.83596039,2762,265,9.594496727
2,5,All Students,2020,307277,13503,293774,95.60559082,2732,295,10.79794979
2,5,All Students,2021,431493,14812,416681,96.56726837,2529,213,8.422301292
2,5,All Students,2022,403459,26197,377262,93.50689697,2360,480,20.33898354
2,6,All Students,2018,488134,18067,470067,96.29875946,2821,241,8.543069839
2,6,All Students,2019,499983,19083,480900,96.18327332,2879,264,9.169850349
2,6,All Students,2020,319590,13110,306480,95.89787292,2845,277,9.736379623
2,6,All Students,2021,457333,18719,438614,95.90692139,2664,295,11.07357311
2,6,All Students,2022,410263,23417,386846,94.29219818,2392,382,15.96990013
2,7,All Students,2018,459250,14340,444910,96.8775177,2655,203,7.645951271
2,7,All Students,2019,478779,15032,463747,96.86034393,2751,202,7.342784405
2,7,All Students,2020,317047,10665,306382,96.63614655,2809,223,7.938768387
2,7,All Students,2021,459162,20081,439081,95.62659454,2683,324,12.07603455
2,7,All Students,2022,421646,24659,396987,94.15172577,2456,433,17.63029289
2,8,All Students,2018,452954,20754,432200,95.41807556,2598,278,10.70053864
2,8,All Students,2019,461443,21499,439944,95.34091949,2646,293,11.07331753
2,8,All Students,2020,311265,14116,297149,95.46495819,2756,297,10.77648735
2,8,All Students,2021,467218,25532,441686,94.53531647,2712,405,14.93362808
2,8,All Students,2022,439953,32046,407907,92.71604156,2540,577,22.71653557
2,9,All Students,2018,1501879,169530,1332349,88.71214294,9569,2790,29.15665245
2,9,All Students,2019,1546569,166723,1379846,89.21981812,9683,2723,28.12145042
2,9,All Students,2020,983316,102545,880771,89.57151031,9341,2631,28.16614914
2,9,All Students,2021,1530878,216681,1314197,85.84596252,9074,3194,35.19947052
2,9,All Students,2022,1433153,188663,1244490,86.8358078,8878,3500,39.42329407
2,10,All Students,2018,1529720,179482,1350238,88.26700592,9780,3144,32.14723969
2,10,All Students,2019,1462581,163963,1298618,88.78947449,9256,2966,32.04407883
2,10,All Students,2020,985989,109025,876964,88.94257355,9276,2950,31.80250168
2,10,All Students,2021,1518396,252845,1265551,83.34788513,9073,3625,39.95370865
2,10,All Students,2022,1472189,229919,1242270,84.38250732,9096,4195,46.11917496
2,11,All Students,2018,1334264,155733,1178531,88.32817078,8423,2731,32.42312622
2,11,All Students,2019,1382690,154273,1228417,88.84254456,8574,2690,31.37392044
2,11,All Students,2020,862241,90780,771461,89.47161865,8017,2433,30.34801102
2,11,All Students,2021,1419477,217587,1201890,84.67132568,8372,3191,38.11514664
2,11,All Students,2022,1332152,220169,1111983,83.47267914,8165,3971,48.63441467
2,12,All Students,2018,1338784,213813,1124971,84.02931213,8480,4006,47.24056625
2,12,All Students,2019,1321534,203427,1118107,84.60675049,8292,3855,46.49059296
2,12,All Students,2020,924635,135314,789321,85.36568451,8586,3593,41.84719467
2,12,All Students,2021,1358899,241157,1117742,82.25350189,8121,3706,45.63477325
2,12,All Students,2022,1355339,282473,1072866,79.15850067,8237,5167,62.72914886
3,All Grades,All Students,2018,3768005,295050,3472955,92.16959381,22868,5363,23.45198441
3,All Grades,All Students,2019,3787291,294935,3492356,92.21250916,22818,5264,23.06950569
3,All Grades,All Students,2020,2453122,192784,2260338,92.14128113,22332,4953,22.178936
3,All Grades,All Students,2021,3502837,338171,3164666,90.34579468,20736,5641,27.20389748
3,All Grades,All Students,2022,3303058,356553,2946505,89.20536804,19829,6821,34.3991127
3,PK in K-12 Schools,All Students,2018,104110,10346,93764,90.06243134,647,255,39.41267395
3,PK in K-12 Schools,All Students,2019,111725,10958,100767,90.19198608,694,259,37.31988525
3,PK in K-12 Schools,All Students,2020,67727,6256,61471,90.76291656,624,218,34.93589783
3,PK in K-12 Schools,All Students,2021,83533,9081,74452,89.12884521,522,173,33.14176178
3,PK in K-12 Schools,All Students,2022,113158,17484,95674,84.54903412,706,426,60.33994293
3,0K,All Students,2018,230740,16671,214069,92.77498627,1376,312,22.6744194
3,0K,All Students,2019,239293,17776,221517,92.57144928,1427,348,24.38682556
3,0K,All Students,2020,158981,12362,146619,92.22422791,1427,364,25.50805855
3,0K,All Students,2021,200626,15037,185589,92.50495911,1226,252,20.55464935
3,0K,All Students,2022,189325,20556,168769,89.14247894,1144,443,38.72377777
3,1,All Students,2018,245584,15791,229793,93.57002258,1451,288,19.84838104
3,1,All Students,2019,228809,14143,214666,93.81886292,1352,258,19.08283997
3,1,All Students,2020,150198,9941,140257,93.38140106,1354,275,20.31019211
3,1,All Students,2021,207053,16432,190621,92.06386566,1233,266,21.57339859
3,1,All Students,2022,192706,19217,173489,90.02781677,1144,361,31.55594444
3,2,All Students,2018,256247,15726,240521,93.86295319,1503,299,19.89354706
3,2,All Students,2019,237905,14385,223520,93.95346832,1402,258,18.40228271
3,2,All Students,2020,143473,8674,134799,93.95426178,1284,223,17.36760139
3,2,All Students,2021,199130,11895,187235,94.02651215,1182,183,15.48223305
3,2,All Students,2022,193733,18582,175151,90.40844727,1141,363,31.81419754
3,3,All Students,2018,256557,15600,240957,93.91947937,1499,276,18.41227531
3,3,All Students,2019,254506,15395,239111,93.95102692,1491,275,18.44399643
3,3,All Students,2020,153860,9022,144838,94.13623047,1374,215,15.64774418
3,3,All Students,2021,196104,10864,185240,94.46008301,1165,191,16.39484978
3,3,All Students,2022,186386,16646,169740,91.06906891,1108,335,30.23465729
3,4,All Students,2018,249439,12621,236818,94.94024658,1449,214,14.76880646
3,4,All Students,2019,244977,12844,232133,94.75705719,1430,236,16.50349617
3,4,All Students,2020,157264,8125,149139,94.83352661,1406,226,16.07396889
3,4,All Students,2021,206207,13733,192474,93.34018707,1213,235,19.37345505
3,4,All Students,2022,185099,15994,169105,91.35921478,1083,324,29.91689682
3,5,All Students,2018,241798,13275,228523,94.50988007,1402,238,16.97574806
3,5,All Students,2019,245698,13334,232364,94.57301331,1424,221,15.51966286
3,5,All Students,2020,154290,8823,145467,94.28154755,1363,211,15.48055744
3,5,All Students,2021,217826,13917,203909,93.61095428,1277,249,19.49882507
3,5,All Students,2022,202013,18504,183509,90.8401947,1189,384,32.29604721
3,6,All Students,2018,245911,13486,232425,94.51589966,1428,243,17.01680756
3,6,All Students,2019,262695,13863,248832,94.72277832,1518,217,14.29512501
3,6,All Students,2020,161832,8229,153603,94.9151001,1439,209,14.52397537
3,6,All Students,2021,230715,18674,212041,91.90602875,1346,328,24.36849976
3,6,All Students,2022,214450,19816,194634,90.75962067,1253,411,32.80127716
3,7,All Students,2018,257790,12370,245420,95.20152283,1499,206,13.74249458
3,7,All Students,2019,249329,13063,236266,94.76073456,1451,235,16.19572639
3,7,All Students,2020,167219,7939,159280,95.25233459,1493,212,14.19959831
3,7,All Students,2021,234507,20287,214220,91.34908295,1374,338,24.59970856
3,7,All Students,2022,221723,20126,201597,90.92290497,1298,383,29.50693321
3,8,All Students,2018,252496,16067,236429,93.63673401,1467,257,17.51874542
3,8,All Students,2019,260223,16243,243980,93.75804901,1498,242,16.15487289
3,8,All Students,2020,157304,9073,148231,94.23218536,1395,215,15.41218662
3,8,All Students,2021,248328,22218,226110,91.05296326,1438,347,24.1307373
3,8,All Students,2022,230116,20732,209384,90.9906311,1337,403,30.14210892
3,9,All Students,2018,381138,32632,348506,91.43827057,2419,526,21.74452209
3,9,All Students,2019,364561,32382,332179,91.11753845,2270,490,21.58590317
3,9,All Students,2020,271675,22928,248747,91.5605011,2537,543,21.40323257
3,9,All Students,2021,343272,33006,310266,90.3848877,2021,519,25.68035698
3,9,All Students,2022,316334,32278,284056,89.7962265,1942,560,28.83625221
3,10,All Students,2018,368770,41810,326960,88.66230774,2398,710,29.60800743
3,10,All Students,2019,380076,35537,344539,90.65002441,2405,623,25.90436554
3,10,All Students,2020,240126,24999,215127,89.58921814,2262,606,26.79045105
3,10,All Students,2021,418637,51256,367381,87.75645447,2474,770,31.12368584
3,10,All Students,2022,333347,41674,291673,87.4983139,2063,712,34.51284409
3,11,All Students,2018,351852,38204,313648,89.14202881,2249,719,31.96976471
3,11,All Students,2019,342804,34869,307935,89.82830048,2151,615,28.59135246
3,11,All Students,2020,240820,24971,215849,89.63084412,2249,638,28.36816406
3,11,All Students,2021,350145,41105,309040,88.26057434,2066,665,32.18780136
3,11,All Students,2022,389417,46897,342520,87.9571228,2372,833,35.11804199
3,12,All Students,2018,325573,40451,285122,87.57544708,2081,820,39.40413284
3,12,All Students,2019,364690,50143,314547,86.25051117,2305,987,42.81995773
3,12,All Students,2020,228353,31442,196911,86.23096466,2126,799,37.58231354
3,12,All Students,2021,366642,60649,305993,83.45825195,2197,1124,51.16067505
3,12,All Students,2022,335251,48047,287204,85.66835022,2049,883,43.0941925
4,All Grades,All Students,2018,2211637,187101,2024536,91.54016113,13379,4082,30.51050186
4,All Grades,All Students,2019,2196835,185626,2011209,91.5503006,13233,4138,31.27030945
4,All Grades,All Students,2020,1395479,116700,1278779,91.63728333,12776,3686,28.85097122
4,All Grades,All Students,2021,2038673,214710,1823963,89.46814728,12048,3867,32.09661484
4,All Grades,All Students,2022,1921721,234002,1687719,87.82331085,11572,5180,44.76322174
4,PK in K-12 Schools,All Students,2018,68877,9786,59091,85.79206085,450,267,59.33333206
4,PK in K-12 Schools,All Students,2019,115704,16848,98856,85.43870544,746,456,61.12600708
4,PK in K-12 Schools,All Students,2020,87618,13557,74061,84.52715302,838,494,58.94988251
4,PK in K-12 Schools,All Students,2021,109613,17961,91652,83.61416626,706,356,50.42493057
4,PK in K-12 Schools,All Students,2022,111411,21258,90153,80.91929626,714,529,74.08963776
4,0K,All Students,2018,148190,15644,132546,89.44328308,907,396,43.66041946
4,0K,All Students,2019,141105,16389,124716,88.38524628,873,423,48.45360947
4,0K,All Students,2020,86839,9266,77573,89.3296814,802,352,43.89027405
4,0K,All Students,2021,124491,17719,106772,85.7668457,759,337,44.40052795
4,0K,All Students,2022,118983,18822,100161,84.18093109,742,467,62.93800354
4,1,All Students,2018,163518,15411,148107,90.5753479,981,389,39.65341568
4,1,All Students,2019,144028,13614,130414,90.54766846,867,339,39.10034561
4,1,All Students,2020,89960,8522,81438,90.52690125,827,289,34.94558716
4,1,All Students,2021,123649,14666,108983,88.13900757,737,283,38.39891434
4,1,All Students,2022,118118,16617,101501,85.93186188,719,422,58.69262695
4,2,All Students,2018,176089,15137,160952,91.40377808,1052,355,33.74524689
4,2,All Students,2019,152742,13021,139721,91.47516632,928,346,37.28448105
4,2,All Students,2020,88154,7802,80352,91.14958191,802,268,33.41645813
4,2,All Students,2021,135433,15407,120026,88.62389374,801,295,36.82896423
4,2,All Students,2022,119461,15597,103864,86.94385529,714,363,50.84033585
4,3,All Students,2018,179003,14049,164954,92.1515274,1069,326,30.49579048
4,3,All Students,2019,169632,13835,155797,91.84410858,1003,315,31.4057827
4,3,All Students,2020,95004,7545,87459,92.05822754,863,254,29.43221283
4,3,All Students,2021,128235,11908,116327,90.71392059,758,228,30.07915497
4,3,All Students,2022,129085,15963,113122,87.63372803,776,364,46.90721512
4,4,All Students,2018,177000,13634,163366,92.29717255,1038,295,28.42003822
4,4,All Students,2019,177074,14103,162971,92.03553009,1048,334,31.87022972
4,4,All Students,2020,101615,7385,94230,92.73236847,909,250,27.5027504
4,4,All Students,2021,135362,12191,123171,90.99378204,802,229,28.55361557
4,4,All Students,2022,122208,16621,105587,86.39941406,718,381,53.06406784
4,5,All Students,2018,174871,12494,162377,92.85530853,1032,261,25.2906971
4,5,All Students,2019,174646,13490,161156,92.27580261,1021,316,30.95004845
4,5,All Students,2020,114502,7906,106596,93.09531403,1031,249,24.15130997
4,5,All Students,2021,151704,11599,140105,92.35418701,878,217,24.71526146
4,5,All Students,2022,135443,16386,119057,87.90192413,802,374,46.63341522
4,6,All Students,2018,177937,12192,165745,93.14813995,1042,254,24.37619972
4,6,All Students,2019,175172,12765,162407,92.71287537,1028,265,25.77820969
4,6,All Students,2020,113663,8134,105529,92.84375763,1020,258,25.29411697
4,6,All Students,2021,170571,14864,155707,91.28574371,989,271,27.40141487
4,6,All Students,2022,157419,19607,137812,87.54470825,929,440,47.36275482
4,7,All Students,2018,172759,12825,159934,92.57636261,1005,262,26.06965256
4,7,All Students,2019,175463,12909,162554,92.64289093,1028,263,25.58365822
4,7,All Students,2020,110211,8062,102149,92.68494415,991,241,24.31887054
4,7,All Students,2021,164074,17233,146841,89.49681091,951,311,32.70241928
4,7,All Students,2022,158820,18973,139847,88.05377197,935,404,43.20855713
4,8,All Students,2018,171554,14947,156607,91.28729248,992,311,31.35080719
4,8,All Students,2019,171717,14836,156881,91.3602066,995,312,31.35678482
4,8,All Students,2020,110134,8520,101614,92.26396942,987,258,26.13981819
4,8,All Students,2021,166437,18658,147779,88.78974915,966,308,31.884058
4,8,All Students,2022,163534,22013,141521,86.5391922,957,475,49.63427353
4,9,All Students,2018,157015,11245,145770,92.83826447,1001,196,19.58041954
4,9,All Students,2019,153247,8744,144503,94.29418182,951,145,15.24710846
4,9,All Students,2020,97292,5542,91750,94.30374908,915,135,14.75409794
4,9,All Students,2021,158491,11721,146770,92.60462952,929,185,19.91388512
4,9,All Students,2022,142239,10961,131278,92.29395294,859,178,20.72176933
4,10,All Students,2018,160361,13307,147054,91.70185089,1024,236,23.046875
4,10,All Students,2019,158188,11332,146856,92.83637238,986,191,19.37119675
4,10,All Students,2020,100900,6605,94295,93.45391846,945,170,17.98941803
4,10,All Students,2021,160445,16776,143669,89.54408264,949,269,28.34562683
4,10,All Students,2022,152651,12392,140259,91.88213348,927,221,23.84034538
4,11,All Students,2018,141133,10380,130753,92.64523315,890,192,21.57303429
4,11,All Students,2019,146013,10145,135868,93.05198669,899,182,20.24471664
4,11,All Students,2020,99109,6617,92492,93.32350922,919,166,18.06311226
4,11,All Students,2021,151979,15166,136813,90.02098846,892,254,28.47533607
4,11,All Students,2022,145712,12217,133495,91.61565399,884,233,26.35746574
4,12,All Students,2018,143330,16050,127280,88.80206299,896,342,38.1696434
4,12,All Students,2019,142104,13595,128509,90.43305969,860,251,29.1860466
4,12,All Students,2020,100478,11237,89241,88.81645966,928,303,32.65086365
4,12,All Students,2021,158055,18823,139232,88.09085083,928,323,34.80603409
4,12,All Students,2022,146637,16575,130062,88.69657898,896,329,36.71875
5,All Grades,All Students,2018,1889314,202903,1686411,89.26049042,11827,4490,37.96398163
5,All Grades,All Students,2019,1824449,200923,1623526,88.98719788,11388,4517,39.66455841
5,All Grades,All Students,2020,1137520,123721,1013799,89.12361908,10663,3967,37.20341492
5,All Grades,All Students,2021,1608379,275767,1332612,82.85435486,9605,4838,50.36959839
5,All Grades,All Students,2022,1493440,253736,1239704,83.00996399,9307,5358,57.56957245
5,PK in K-12 Schools,All Students,2018,70185,9927,60258,85.8559494,454,267,58.81057358
5,PK in K-12 Schools,All Students,2019,102086,14568,87518,85.72967529,662,411,62.08459091
5,PK in K-12 Schools,All Students,2020,79453,10830,68623,86.36930084,771,410,53.17769241
5,PK in K-12 Schools,All Students,2021,83457,17770,65687,78.70759583,543,331,60.9576416
5,PK in K-12 Schools,All Students,2022,99645,19886,79759,80.04315186,655,497,75.87786102
5,0K,All Students,2018,120271,14298,105973,88.11184692,779,374,48.01026917
5,0K,All Students,2019,108659,14194,94465,86.93711853,702,379,53.9886055
5,0K,All Students,2020,67256,8114,59142,87.93564606,648,315,48.61111069
5,0K,All Students,2021,86775,15703,71072,81.90377045,553,325,58.77034378
5,0K,All Students,2022,86100,15522,70578,81.97212219,557,381,68.40215302
5,1,All Students,2018,130074,14111,115963,89.15155792,814,371,45.57739639
5,1,All Students,2019,111516,11704,99812,89.5046463,703,304,43.24324417
5,1,All Students,2020,67855,7388,60467,89.11207581,653,283,43.33843613
5,1,All Students,2021,98255,17090,81165,82.60648346,593,325,54.80607224
5,1,All Students,2022,88744,14775,73969,83.3509903,555,357,64.32432556
5,2,All Students,2018,134407,12590,121817,90.63292694,849,327,38.51589966
5,2,All Students,2019,119548,11419,108129,90.44818878,740,285,38.51351166
5,2,All Students,2020,68962,6340,62622,90.80653381,644,237,36.80124283
5,2,All Students,2021,100067,16373,83694,83.63796234,604,312,51.6556282
5,2,All Students,2022,100248,17719,82529,82.32483673,625,398,63.68000031
5,3,All Students,2018,144910,13080,131830,90.97370911,881,329,37.34392548
5,3,All Students,2019,132520,12097,120423,90.87156677,817,304,37.20930099
5,3,All Students,2020,75479,6558,68921,91.31149292,697,222,31.85079002
5,3,All Students,2021,101936,15983,85953,84.32055664,607,301,49.58813858
5,3,All Students,2022,93251,16044,77207,82.79482269,566,349,61.66077805
5,4,All Students,2018,147288,13451,133837,90.86755371,893,320,35.83426666
5,4,All Students,2019,141145,12788,128357,90.93981171,849,311,36.6313324
5,4,All Students,2020,81874,7193,74681,91.2145462,756,255,33.73015976
5,4,All Students,2021,111579,13861,97718,87.57740784,657,265,40.33485413
5,4,All Students,2022,95262,14201,81061,85.09268951,591,344,58.20642853
5,5,All Students,2018,138713,10939,127774,92.11392975,829,251,30.27744293
5,5,All Students,2019,137157,11491,125666,91.62200928,818,275,33.61858368
5,5,All Students,2020,89242,7742,81500,91.32471466,806,266,33.00247955
5,5,All Students,2021,120391,15161,105230,87.40686798,707,269,38.04809189
5,5,All Students,2022,107722,15807,91915,85.32611847,649,364,56.08628845
5,6,All Students,2018,130636,11019,119617,91.56510925,789,248,31.43219185
5,6,All Students,2019,125930,10458,115472,91.69538879,756,234,30.95238113
5,6,All Students,2020,74686,5777,68909,92.26494598,687,183,26.63755417
5,6,All Students,2021,116270,20716,95554,82.1828537,682,371,54.3988266
5,6,All Students,2022,101687,14670,87017,85.57337952,614,312,50.81433105
5,7,All Students,2018,140817,12809,128008,90.90379333,841,279,33.17479324
5,7,All Students,2019,126783,11295,115488,91.09107971,761,241,31.66885757
5,7,All Students,2020,80800,6789,74011,91.59777069,736,196,26.63043404
5,7,All Students,2021,111970,19808,92162,82.30954742,662,352,53.17220688
5,7,All Students,2022,110251,16257,93994,85.25455475,674,340,50.44510269
5,8,All Students,2018,139415,13835,125580,90.07639313,833,298,35.77431107
5,8,All Students,2019,134297,13883,120414,89.66246796,807,321,39.77695084
5,8,All Students,2020,81007,7795,73212,90.37737274,734,238,32.4250679
5,8,All Students,2021,122018,23024,98994,81.13065338,708,390,55.08474731
5,8,All Students,2022,108249,15841,92408,85.3661499,648,355,54.78395081
5,9,All Students,2018,168228,21152,147076,87.42658997,1096,363,33.12043762
5,9,All Students,2019,162421,22651,139770,86.05414581,1044,415,39.75095749
5,9,All Students,2020,105704,15269,90435,85.5549469,1003,406,40.47856522
5,9,All Students,2021,150742,31413,119329,79.16107941,893,486,54.42329407
5,9,All Students,2022,128444,21295,107149,83.42079163,796,346,43.46733856
5,10,All Students,2018,161359,22196,139163,86.24433899,1070,415,38.78504562
5,10,All Students,2019,157322,20559,136763,86.93190002,1030,389,37.76699066
5,10,All Students,2020,93085,13668,79417,85.31664276,905,369,40.77347946
5,10,All Students,2021,150142,26320,123822,82.46992493,889,394,44.31946182
5,10,All Students,2022,130560,24777,105783,81.02252197,838,422,50.35799408
5,11,All Students,2018,129396,13569,115827,89.51358795,834,259,31.05515671
5,11,All Students,2019,139023,14945,124078,89.24997711,883,281,31.82332993
